epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_real_rec,val_fake_rec,lr
1,0.7136,0.4992,0.4723,0.7034,0.5081,0.4731,0.250,0.766,2.01e-04
2,0.7081,0.4941,0.4902,0.6961,0.5104,0.5104,0.522,0.499,3.00e-04
3,0.6985,0.5078,0.5077,0.6935,0.5142,0.5124,0.576,0.453,2.98e-04
4,0.6938,0.5259,0.5259,0.6900,0.5361,0.5354,0.499,0.573,2.94e-04
5,0.6869,0.5431,0.5431,0.6798,0.5783,0.5616,0.773,0.383,2.89e-04
6,0.6637,0.6032,0.6031,0.6543,0.6129,0.6110,0.682,0.544,2.82e-04
7,0.6131,0.6928,0.6917,0.6703,0.5897,0.5752,0.405,0.774,2.73e-04
8,0.5650,0.7396,0.7380,0.5965,0.6698,0.6675,0.585,0.754,2.63e-04
9,0.5171,0.7853,0.7841,0.7127,0.5560,0.5374,0.356,0.756,2.52e-04
10,0.4839,0.8118,0.8109,0.5340,0.7913,0.7849,0.964,0.619,2.39e-04
11,0.4610,0.8285,0.8277,0.6269,0.7434,0.7258,0.996,0.491,2.25e-04
12,0.4321,0.8592,0.8586,0.6581,0.6409,0.6170,0.391,0.891,2.10e-04
13,0.4124,0.8709,0.8705,0.8772,0.6807,0.6445,1.000,0.361,1.95e-04
14,0.4036,0.8804,0.8800,0.6014,0.6973,0.6921,0.567,0.827,8.94e-05
15,0.3934,0.8904,0.8900,0.5586,0.8050,0.7975,0.998,0.612,8.12e-05
16,0.3857,0.8967,0.8962,0.4543,0.8458,0.8432,0.975,0.716,7.29e-05
17,0.3845,0.8954,0.8950,0.4625,0.8435,0.8403,0.985,0.702,6.47e-05
18,0.3780,0.8975,0.8971,0.5010,0.8297,0.8246,1.000,0.659,5.66e-05
19,0.3714,0.9020,0.9017,0.4660,0.8458,0.8423,0.996,0.695,4.87e-05
20,0.3666,0.9046,0.9042,0.4566,0.8529,0.8503,0.987,0.719,2.06e-05
21,0.3653,0.9071,0.9068,0.4621,0.8444,0.8408,0.994,0.694,1.70e-05
22,0.3621,0.9098,0.9095,0.4679,0.8449,0.8412,0.996,0.694,1.37e-05
23,0.3630,0.9070,0.9067,0.4687,0.8425,0.8387,0.996,0.689,1.06e-05
24,0.3566,0.9142,0.9139,0.4575,0.8496,0.8463,0.996,0.703,3.95e-06
25,0.3566,0.9159,0.9156,0.4650,0.8439,0.8401,0.998,0.690,2.78e-06
26,0.3573,0.9135,0.9132,0.4646,0.8435,0.8397,0.996,0.691,1.79e-06
27,0.3619,0.9118,0.9114,0.4659,0.8454,0.8417,0.996,0.694,1.00e-06
